,AnnReturn,AnnVol,Sharpe,MaxDD
EQ,0.3352955320115755,0.3721762573810797,"Ticker
^IRX    0.820467
dtype: float64",-0.6464970951561847
MinVar,0.1308380499434641,0.14376245666444468,"Ticker
^IRX    0.701859
dtype: float64",-0.3568356209762492
Momentum,0.32343111966441146,0.38331800857714965,"Ticker
^IRX    0.765667
dtype: float64",-0.6424575019764884
SPY,0.16274032968386629,0.17364970013461956,"Ticker
^IRX    0.764777
dtype: float64",-0.24496382950005957
