,年化收益,年化波动,Sharpe,最大回撤
等权,0.8112416156659836,0.4486524943714773,1.8081736440597609,-0.3646890445266794
最小方差,0.384081553329129,0.2277448151308918,1.686455751393064,-0.19900417337228882
动量,1.2967140640246602,0.9372471546130122,1.3835348100455827,-0.7393160205194158
